"user_id","last_order_date","recency_days","frequency","monetary","r_score","f_score","m_score","rfm_score","score","rfm_segment"
52849,2024-01-19,2,4,440.859998703002918,5,5,5,"555",15,Champions
51001,2023-12-14,38,4,252.24000358581543,5,5,5,"555",15,Champions
91826,2024-01-12,9,3,154.439996719360354,5,4,5,"545",14,Champions
36224,2024-01-14,7,3,188.94000244140625,5,4,5,"545",14,Champions
27530,2023-12-27,25,3,234.93999481201170,5,4,5,"545",14,Champions
14757,2024-01-04,17,3,390.76000213623048,5,4,5,"545",14,Champions
95233,2024-01-06,15,3,163.359999656677246,5,4,5,"545",14,Champions
25170,2024-01-05,16,3,207.0500030517578,5,4,5,"545",14,Champions
68065,2024-01-11,10,3,230.940002441406246,5,4,5,"545",14,Champions
54072,2024-01-08,13,3,198.350002288818348,5,4,5,"545",14,Champions
2675,2023-12-24,28,3,221.889999389648446,5,4,5,"545",14,Champions
37650,2024-01-10,11,3,258.299999237060546,5,4,5,"545",14,Champions
19973,2023-12-28,24,3,293.160000801086426,5,4,5,"545",14,Champions
48761,2024-01-12,9,3,182.090002059936516,5,4,5,"545",14,Champions
2496,2024-01-03,18,3,267.939998626708983,5,4,5,"545",14,Champions
18423,2024-01-15,6,3,196.979999542236328,5,4,5,"545",14,Champions
22740,2023-12-16,36,3,181.129999160766599,5,4,5,"545",14,Champions
14498,2024-01-02,19,3,397.13999938964844,5,4,5,"545",14,Champions
81326,2023-12-10,42,3,497.78999710083009,5,4,5,"545",14,Champions
44007,2023-12-17,35,3,170.9900016784668,5,4,5,"545",14,Champions
31214,2023-12-21,31,3,222.08000183105469,5,4,5,"545",14,Champions
36983,2024-01-09,12,3,478.950000762939446,5,4,5,"545",14,Champions
40140,2023-12-18,34,3,259.940002441406253,5,4,5,"545",14,Champions
46298,2024-01-19,2,3,171.880002260208133,5,4,5,"545",14,Champions
10851,2024-01-13,8,3,546.000011444091771,5,4,5,"545",14,Champions
23628,2023-12-18,34,3,680.229991912841813,5,4,5,"545",14,Champions
73695,2023-12-13,39,3,327.210002899169925,5,4,5,"545",14,Champions
82149,2024-01-03,18,3,189.310003280639634,5,4,5,"545",14,Champions
9219,2023-12-14,38,3,199.379998207092301,5,4,5,"545",14,Champions
65786,2023-12-25,27,3,273.289995193481441,5,4,5,"545",14,Champions
47891,2024-01-02,19,3,204.590001106262208,5,4,5,"545",14,Champions
